Clones,UniqueClones,Timestamp
3,2,10-19-2022
2,2,10-21-2022
1,1,10-24-2022
1,1,10-25-2022
14,7,10-26-2022
6,4,10-27-2022
2,2,10-28-2022
1,1,10-29-2022
1,1,10-30-2022
5,3,11-02-2022
2,2,11-03-2022
1,1,11-05-2022
6,4,11-07-2022
4,4,11-09-2022
2,2,11-15-2022
5,3,11-16-2022
7,4,11-17-2022
2,1,11-21-2022
9,4,11-23-2022
1,1,11-24-2022
1,1,11-25-2022
7,4,11-28-2022
8,3,11-29-2022
1,1,11-30-2022
1,1,12-01-2022
5,2,12-05-2022
2,1,12-06-2022
4,2,12-07-2022
3,2,12-08-2022
1,1,12-09-2022
1,1,12-10-2022
1,1,12-11-2022
7,3,12-12-2022
1,1,12-13-2022
1,1,12-15-2022
1,1,12-18-2022
